Lon       Lat      Dep  Vel  Mag      Fast
99.000000 25.500000 100 4.251 0.012576 -71.870328
99.000000 25.500000 110 4.319 0.011009 -77.211197
99.000000 25.500000 120 4.378 0.009639 -82.475770
99.000000 25.500000 130 4.425 0.008476 -87.464763
99.000000 25.500000 140 4.459 0.007473 87.995486
99.000000 25.500000 150 4.483 0.006579 83.991562
99.000000 26.000000 0 3.113 0.020349 -6.405565
99.000000 26.000000 5 3.119 0.012496 -15.706211
99.000000 26.000000 10 3.389 0.009424 -10.684958
99.000000 26.000000 15 3.463 0.007772 12.968129
99.000000 26.000000 20 3.488 0.009637 24.886849
99.000000 26.000000 25 3.494 0.009559 22.124373
99.000000 26.000000 30 3.520 0.008576 10.131242
99.000000 26.000000 35 3.577 0.009218 -5.008729
99.000000 26.000000 40 3.648 0.011067 -15.227248
99.000000 26.000000 45 3.745 0.011114 -20.241865
99.000000 26.000000 50 4.195 0.010799 -23.553850
99.000000 26.000000 55 4.301 0.011126 -26.638535
99.000000 26.000000 60 4.284 0.010601 -29.667762
99.000000 26.000000 65 4.274 0.009295 -33.319227
99.000000 26.000000 70 4.163 0.013172 -41.479751
99.000000 26.000000 80 4.105 0.008115 -62.178945
99.000000 26.000000 90 4.210 0.008446 -85.425244
99.000000 26.000000 100 4.317 0.010588 83.324785
99.000000 26.000000 110 4.406 0.011972 78.204965
99.000000 26.000000 120 4.473 0.012314 75.465015
99.000000 26.000000 130 4.519 0.011834 73.827706
99.000000 26.000000 140 4.546 0.010818 72.784607
99.000000 26.000000 150 4.561 0.009518 72.095631
99.000000 26.500000 0 3.137 0.020935 -8.688559
99.000000 26.500000 5 3.191 0.013879 -13.191277
99.000000 26.500000 10 3.444 0.007014 -12.865294
99.000000 26.500000 15 3.443 0.002961 44.470159
99.000000 26.500000 20 3.419 0.006497 53.195621
99.000000 26.500000 25 3.418 0.005495 40.853208
99.000000 26.500000 30 3.467 0.005938 10.351177
99.000000 26.500000 35 3.558 0.010568 -5.396170
99.000000 26.500000 40 3.656 0.015287 -10.872408
99.000000 26.500000 45 3.745 0.018493 -13.409920
99.000000 26.500000 50 3.835 0.017931 -14.725708
99.000000 26.500000 55 4.269 0.016619 -15.642122
99.000000 26.500000 60 4.373 0.015916 -16.313456
99.000000 26.500000 65 4.364 0.014035 -16.830722
99.000000 26.500000 70 4.292 0.018629 -17.573741
99.000000 26.500000 80 4.255 0.005164 -20.587676
99.000000 26.500000 90 4.324 0.005615 76.433332
99.000000 26.500000 100 4.401 0.012681 74.531297
99.000000 26.500000 110 4.467 0.016570 74.267910
99.000000 26.500000 120 4.516 0.018015 74.320099
99.000000 26.500000 130 4.547 0.017767 74.508515
99.000000 26.500000 140 4.564 0.016467 74.775459
99.000000 26.500000 150 4.571 0.014613 75.095278
99.000000 27.000000 0 3.166 0.022224 -13.287457
99.000000 27.000000 5 3.214 0.011896 -17.248803
99.000000 27.000000 10 3.445 0.005145 -18.493022
99.000000 27.000000 15 3.481 0.002199 21.904085
99.000000 27.000000 20 3.479 0.004306 30.259459
99.000000 27.000000 25 3.458 0.005521 14.911091
99.000000 27.000000 30 3.469 0.008154 -0.897432
99.000000 27.000000 35 3.533 0.011825 -9.320919
99.000000 27.000000 40 3.625 0.015205 -13.527635
99.000000 27.000000 45 3.723 0.017581 -15.798243
99.000000 27.000000 50 3.819 0.018718 -17.109439
99.000000 27.000000 55 3.911 0.017079 -17.808770
99.000000 27.000000 60 4.340 0.015153 -18.268877
